d,open,high,low,close
2025-02-03T21:00:00+07:00,94664.52,96702.12,94131.14,96589.5
2025-02-03T22:00:00+07:00,96589.5,99500,96190.47,98842
2025-02-03T23:00:00+07:00,98842,99041.89,98164,98543.08
2025-02-04T00:00:00+07:00,98543.08,99313.09,98038.58,99206.38
2025-02-04T01:00:00+07:00,99206.38,99943.63,98941.17,99816.05
2025-02-04T02:00:00+07:00,99816.05,101880,99576.02,101880
2025-02-04T03:00:00+07:00,101879.99,101951.82,100980,101083
2025-02-04T04:00:00+07:00,101081.4,101978.84,100918,101802.55
2025-02-04T05:00:00+07:00,101802.56,102500.01,101479.14,101695.62
2025-02-04T06:00:00+07:00,101695.62,101827.98,101270.49,101328.52
2025-02-04T07:00:00+07:00,101328.51,101660.94,100985.09,101058.01
2025-02-04T08:00:00+07:00,101058.01,101732.31,100743.33,101382.68
2025-02-04T09:00:00+07:00,101382.69,101435.66,100804.54,100839.99
2025-02-04T10:00:00+07:00,100839.99,101021.78,100534.03,100629.7
2025-02-04T11:00:00+07:00,100629.7,100764.11,100009.97,100053.12
2025-02-04T12:00:00+07:00,100053.11,100094.09,98229.82,98865.99
2025-02-04T13:00:00+07:00,98866,99673.6,98838.28,99367.58
2025-02-04T14:00:00+07:00,99367.58,99473.85,98316.27,98448.02
2025-02-04T15:00:00+07:00,98448.01,98730.8,97860,98304.34
2025-02-04T16:00:00+07:00,98304.35,98809.18,98271.73,98338.23
2025-02-04T17:00:00+07:00,98338.23,98976.96,98338.22,98779.91
2025-02-04T18:00:00+07:00,98779.91,99445.17,98742.47,98967.7
2025-02-04T19:00:00+07:00,98967.7,99789,98967.7,99362.04
2025-02-04T20:00:00+07:00,99362.04,99545.35,98958.9,99007.22
2025-02-04T21:00:00+07:00,99007.22,100415,98561.48,99984.72
2025-02-04T22:00:00+07:00,99984.72,100223.38,98275.98,99347.19
2025-02-04T23:00:00+07:00,99347.18,99949.5,99028.46,99043.48
2025-02-05T00:00:00+07:00,99043.48,99613.25,98829.64,99168.35
2025-02-05T01:00:00+07:00,99168.35,99566.66,98778.58,99415.2
2025-02-05T02:00:00+07:00,99415.2,100777.93,98782.6,98859.77
2025-02-05T03:00:00+07:00,98859.78,99444.02,97965.63,98652.18
2025-02-05T04:00:00+07:00,98652.18,98673.86,96422,96514.47
2025-02-05T05:00:00+07:00,96514.47,97967.4,96150,97691.2
2025-02-05T06:00:00+07:00,97691.2,98224.97,97473.32,97763.13
2025-02-05T07:00:00+07:00,97763.14,98390.7,97711.7,98274.01
2025-02-05T08:00:00+07:00,98274.01,98930.44,97662.18,97849.82
