Log
"Candle 21462: time=2025-06-13 08:00:00, high=105434.34, low=104690.85, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21463: time=2025-06-13 09:00:00, high=104916.0, low=104500.0, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21464: time=2025-06-13 10:00:00, high=104925.1, low=104425.79, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21465: time=2025-06-13 11:00:00, high=105045.79, low=104640.0, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21466: time=2025-06-13 12:00:00, high=105290.14, low=104822.36, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21467: time=2025-06-13 13:00:00, high=105300.0, low=104674.14, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=102755.24419999999"
"Candle 21468: time=2025-06-13 14:00:00, high=105011.76, low=104118.0, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=102755.24419999999"
"Candle 21469: time=2025-06-13 15:00:00, high=105747.47, low=104860.0, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107070.1548"
"Candle 21470: time=2025-06-13 16:00:00, high=105981.0, low=105308.83, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103328.1326"
"Candle 21471: time=2025-06-13 17:00:00, high=105783.65, low=104867.65, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103328.1326"
"Candle 21472: time=2025-06-13 18:00:00, high=105480.0, low=104668.73, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103328.1326"
"Candle 21473: time=2025-06-13 19:00:00, high=105436.9, low=104900.0, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103328.1326"
"Candle 21474: time=2025-06-13 20:00:00, high=105508.34, low=105020.87, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103328.1326"
"Candle 21475: time=2025-06-13 21:00:00, high=105788.79, low=105326.41, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103328.1326"
"Candle 21476: time=2025-06-13 22:00:00, high=105840.0, low=105542.0, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103328.1326"
"Candle 21477: time=2025-06-13 23:00:00, high=106179.53, low=105751.28, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103328.1326"
"Candle 21478: time=2025-06-14 00:00:00, high=106252.0, low=105703.61, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103328.1326"
"Candle 21479: time=2025-06-14 01:00:00, high=105826.33, low=105440.0, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103328.1326"
"Candle 21480: time=2025-06-14 02:00:00, high=105611.67, low=105312.88, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103328.1326"
"Candle 21481: time=2025-06-14 03:00:00, high=105440.0, low=105197.96, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103328.1326"
"Candle 21482: time=2025-06-14 04:00:00, high=105397.06, low=105212.09, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103328.1326"
"Candle 21483: time=2025-06-14 05:00:00, high=105397.06, low=105233.95, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107478.49140000001"
"Candle 21484: time=2025-06-14 06:00:00, high=105321.82, low=105105.13, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107478.49140000001"
"Candle 21485: time=2025-06-14 07:00:00, high=105144.57, low=104792.98, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107478.49140000001"
"Candle 21486: time=2025-06-14 08:00:00, high=105132.36, low=104871.06, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107478.49140000001"
"Candle 21487: time=2025-06-14 09:00:00, high=105110.15, low=104850.54, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107478.49140000001"
"Candle 21488: time=2025-06-14 10:00:00, high=105117.07, low=104836.06, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107478.49140000001"
"Candle 21489: time=2025-06-14 11:00:00, high=105096.0, low=104948.38, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107478.49140000001"
"Candle 21490: time=2025-06-14 12:00:00, high=105100.0, low=104745.1, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107478.49140000001"
"Candle 21491: time=2025-06-14 13:00:00, high=105131.25, low=104902.28, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107478.49140000001"
"Candle 21492: time=2025-06-14 14:00:00, high=105060.42, low=104841.96, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107478.49140000001"
"Candle 21493: time=2025-06-14 15:00:00, high=104983.05, low=104615.38, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107478.49140000001"
"Candle 21494: time=2025-06-14 16:00:00, high=104900.0, low=104359.5, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107478.49140000001"
"Candle 21495: time=2025-06-14 17:00:00, high=104721.53, low=104404.9, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107478.49140000001"
"Candle 21496: time=2025-06-14 18:00:00, high=104995.72, low=104359.08, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107478.49140000001"
"Candle 21497: time=2025-06-14 19:00:00, high=105045.78, low=104630.19, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107478.49140000001"
"Candle 21498: time=2025-06-14 20:00:00, high=104991.0, low=104300.0, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107478.49140000001"
"--> TS TRIGGERED at candle 21498, profit_from_entry=1.016474445974599"
"----> Trailing ACTIVATED by TS at candle 21498, trailingSL=107478.49140000001"
"Candle 21499: time=2025-06-14 21:00:00, high=105458.71, low=104867.14, trailingActive=True, BE_reached=False, TS_reached=True, trailingSL=107478.49140000001"
"Candle 21500: time=2025-06-14 22:00:00, high=105480.0, low=105289.45, trailingActive=True, BE_reached=False, TS_reached=True, trailingSL=107478.49140000001"
"Candle 21501: time=2025-06-14 23:00:00, high=105480.0, low=105348.81, trailingActive=True, BE_reached=False, TS_reached=True, trailingSL=107478.49140000001"
"Candle 21502: time=2025-06-15 00:00:00, high=105663.98, low=105264.75, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103306.3472"
"Candle 21503: time=2025-06-15 01:00:00, high=105680.0, low=105410.5, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103306.3472"
"Candle 21504: time=2025-06-15 02:00:00, high=105624.0, low=105421.03, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103306.3472"
"Candle 21505: time=2025-06-15 03:00:00, high=105566.22, low=105463.54, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103306.3472"
"Candle 21506: time=2025-06-15 04:00:00, high=105563.04, low=105473.54, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103306.3472"
"Candle 21507: time=2025-06-15 05:00:00, high=106100.0, low=105507.65, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103306.3472"
"Candle 21508: time=2025-06-15 06:00:00, high=106128.57, low=105410.43, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103306.3472"
"Candle 21509: time=2025-06-15 07:00:00, high=105453.46, low=105200.0, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103306.3472"
"Candle 21510: time=2025-06-15 08:00:00, high=105482.4, low=105134.69, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103306.3472"
"Candle 21511: time=2025-06-15 09:00:00, high=105197.19, low=104867.64, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103306.3472"
"Candle 21512: time=2025-06-15 10:00:00, high=105188.96, low=104915.14, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103306.3472"
"Candle 21513: time=2025-06-15 11:00:00, high=105162.51, low=104915.14, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103306.3472"
"Candle 21514: time=2025-06-15 12:00:00, high=105296.0, low=104955.48, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107069.9202"
"Candle 21515: time=2025-06-15 13:00:00, high=105660.31, low=105220.65, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107069.9202"
"Candle 21516: time=2025-06-15 14:00:00, high=105838.24, low=105308.82, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107069.9202"
"Candle 21517: time=2025-06-15 15:00:00, high=105794.12, low=105539.0, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107069.9202"
"Candle 21518: time=2025-06-15 16:00:00, high=105687.74, low=105332.0, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103452.72"
"Candle 21519: time=2025-06-15 17:00:00, high=105777.09, low=105476.4, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103452.72"
"Candle 21520: time=2025-06-15 18:00:00, high=105689.65, low=105472.0, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103452.72"
"Candle 21521: time=2025-06-15 19:00:00, high=105566.43, low=105082.97, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103452.72"
"Candle 21522: time=2025-06-15 20:00:00, high=105300.0, low=104600.13, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103452.72"
"Candle 21523: time=2025-06-15 21:00:00, high=104828.94, low=104494.53, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=103452.72"
"Candle 21524: time=2025-06-15 22:00:00, high=105359.96, low=104734.42, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=106903.905"
