time,open,high,low,close,ADX Trên Threshold,ADX Dưới Threshold,Ngưỡng Threshold,RROF Smooth,Signal Line,Buy4,Sell4,RSI,RSI Fast MA,RSI Slow MA,Histogram,MACD,Signal
2024-06-03T06:30:00+07:00,0.0145165,0.0146972,0.0144637,0.0146339,4.4437848821479236,NaN,0,13.83791323493129,-1.343652888573942,0,0,57.77707660376809,44.47298081795226,41.854258096262924,0.00004823986915142173,-0.00007762128707505637,-0.0001258611562264781
2024-06-03T07:00:00+07:00,0.0146338,0.014886,0.0145878,0.0146367,3.65604672869231,NaN,0,21.737308976723714,8.567822961792212,0,0,57.89190645110014,47.156765944581835,42.574951469183404,0.00005895080409435189,-0.00005217265110853825,-0.00011112345520289014
2024-06-03T07:30:00+07:00,0.0146371,0.0148297,0.01451,0.0147111,2.4251441412150356,NaN,0,29.600700549631547,17.95590788109657,0,0,60.93226179113813,49.91186511389309,43.40983689896959,0.00006833503756659674,-0.000025704658244644213,-0.00009403969581124095
2024-06-03T08:00:00+07:00,0.0147118,0.0148573,0.0145916,0.0148014,1.421739724133257,NaN,0,37.86932365270373,26.81169571509456,0,0,64.301333516949,52.78975879450427,44.36842926608326,0.00007725473471549708,0.0000025287225831303883,-0.00007472601213236669
2024-06-03T08:30:00+07:00,0.0148014,0.0150019,0.0147383,0.0149724,1.1748961681049828,NaN,0,46.410655480845456,35.309680323487704,0,0,69.64056464799182,56.15991996520178,45.53091005522066,0.00009038969053548736,0.00003826110103699251,-0.000052128589498494845
2024-06-03T09:00:00+07:00,0.0149715,0.0150207,0.014866,0.0149173,1.0296626236645245,NaN,0,49.86581104741477,41.96789054630358,0,0,66.20455202102396,58.16884637636622,46.51031739517403,0.00009084294256095871,0.00006142508870270354,-0.000029417853858255168
2024-06-03T09:30:00+07:00,0.0149174,0.0149931,0.0147909,0.0148312,0.3484776720473022,NaN,0,47.009997759821445,45.27230315242277,0,0,61.12907865105906,58.76089283130479,47.24049722587913,0.00008113839109323415,0.00007200513500828752,-0.00000913325608494663
2024-06-03T10:00:00+07:00,0.0148309,0.0148518,0.0146609,0.0147424,NaN,-1.1412935991706519,0,40.24024855566892,44.635286771617956,0,0,56.33239155149177,58.27519257534218,47.73572198437727,0.00006521861531105948,0.00007239001305387772,0.000007171397742818244
2024-06-03T10:30:00+07:00,0.0147434,0.01483,0.0146702,0.0147026,NaN,-2.5246526367301847,0,31.353082832115973,40.326578615893,0,0,54.27668261155571,57.47549058258489,48.122412527176564,0.00004921621740057852,0.0000686916694935414,0.000019475452092962878
2024-06-03T11:00:00+07:00,0.0147027,0.0147629,0.0145423,0.014571,NaN,-3.665788235842111,0,18.64957133340956,32.21778268197174,0,0,48.034783135988,55.58734909326551,48.219423530489486,0.00002803027042857139,0.000054513290128677117,0.000026483019700105727
2024-06-03T11:30:00+07:00,0.014571,0.0147111,0.0145076,0.0145908,NaN,-4.526280717594229,0,8.1154012442046,22.448335661477895,0,0,48.985370840940945,54.2669534428006,48.34264244771562,0.000014304085320971754,0.00004436312635132042,0.000030059041030348666
2024-06-03T12:00:00+07:00,0.0145909,0.0148425,0.0145885,0.0147825,NaN,-5.805787127676869,0,5.516226303600729,14.59585764766344,0,0,57.15687799602222,54.844938353444924,48.813729038541325,0.000016910738241555553,0.00005119746383229311,0.000034286725590737555
2024-06-03T12:30:00+07:00,0.0147825,0.0153425,0.0147825,0.01515,NaN,-4.853006541926476,0,9.255988386397807,10.756218425196057,0,0,67.80394534444856,57.43673975164565,49.73916522727625,0.000040798454871166495,0.00008528479417969567,0.00004448633930852918
2024-06-03T13:00:00+07:00,0.01515,0.0151835,0.0149315,0.0150895,NaN,-3.96828171230111,0,11.945800387197725,9.878800547613386,0,0,64.94265679546093,58.93792316040871,50.51344302652737,0.000049365548327284666,0.00010619327471763501,0.000056827726390350345
2024-06-03T13:30:00+07:00,0.0150896,0.0154439,0.0150876,0.0152758,NaN,-2.3916894769798525,0,18.3698785557938,12.436560889223959,0,0,69.24638667052966,60.9996158624329,51.44931217851813,0.00006351855615257047,0.00013622592158106343,0.00007270736542849296
2024-06-03T14:00:00+07:00,0.0152758,0.0153987,0.0151251,0.0151274,NaN,-0.9277109727529727,0,17.752704914366454,14.807242868866465,0,0,62.64880843024093,61.3294543759945,52.072795236700166,0.000058926239112638867,0.00014636516431929154,0.00008743892520665268
2024-06-03T14:30:00+07:00,0.0151274,0.0153737,0.0150908,0.0153184,0.19275489335311846,NaN,0,20.26139852497147,17.371669140699854,0,0,67.00599909367385,62.46476331953037,52.865030464566615,0.00006435086273338417,0.00016787750362338288,0.00010352664088999872
2024-06-03T15:00:00+07:00,0.0153192,0.0154708,0.0152333,0.0154158,1.5194392784631958,NaN,0,23.91838964087401,20.172080969742705,0,0,68.99245856555368,63.77030236873503,53.71181289572874,0.00006964954099954315,0.00019058856713942765,0.0001209390261398845
2024-06-03T15:30:00+07:00,0.0154151,0.0155196,0.0152638,0.0152951,2.8909569220670726,NaN,0,21.09951424320294,21.05537424926346,0,0,63.86129953043471,63.788501801074965,54.3082051916609,0.00006051413581582675,0.00019658169590966793,0.00013606756009384118
2024-06-03T16:00:00+07:00,0.015295,0.0153241,0.0151,0.0151757,3.0028378792482933,NaN,0,14.965954780166769,19.2839001173718,0,0,59.17296167391501,62.86539377564297,54.67852730663618,0.000042755658802352874,0.00018951213359678226,0.0001467564747944294
2024-06-03T16:30:00+07:00,0.0151748,0.0152489,0.0151441,0.0151799,3.106727339487996,NaN,0,9.735812497247329,15.99597347621547,0,0,59.28618933818773,62.14955288815192,55.03747675534781,0.00002831375058505979,0.00018214866302575412,0.00015383491244069434
2024-06-03T17:00:00+07:00,0.0151808,0.015322,0.0151808,0.0152703,3.4783640988290223,NaN,0,7.372852812366368,12.454853101240092,0,0,61.74538099353761,62.06871850922906,55.48725978659309,0.000022144221985688576,0.00018151518992280506,0.00015937096793711649
2024-06-03T17:30:00+07:00,0.0152702,0.0153189,0.0151741,0.0152858,3.7724031456963694,NaN,0,7.217171643572207,9.721075384173666,0,0,62.16733537943432,62.08844188327011,55.94615184515368,0.000016652663370882235,0.00018018679715071928,0.00016353413377983704
2024-06-03T18:00:00+07:00,0.0152857,0.0152988,0.0151367,0.015159,3.749716514930757,NaN,0,2.9816366025808008,6.688867186596891,0,0,56.661283823085164,61.003010271233116,56.15729379172295,0.000002754711435334114,0.0001669775230740047,0.00016422281163867058
2024-06-03T18:30:00+07:00,0.01516,0.015233,0.0150051,0.0151183,2.7578909852180153,NaN,0,-1.54118614129343,3.356909917103516,0,0,54.978114899098735,59.79803119680624,56.291883097902364,-0.00001019522905889504,0.00015147877531505177,0.0001616740043739468
2024-06-03T19:00:00+07:00,0.0151183,0.0156715,0.0151062,0.0153635,3.510318741485275,NaN,0,-0.6315607757363948,1.4286371642264994,0,0,62.25311707986003,60.289048373417,56.74541901202661,-0.000003603409993490302,0.00015716974188208395,0.00016077315187557425
2024-06-03T19:30:00+07:00,0.0153626,0.0154071,0.0152111,0.0152768,4.209001658019158,NaN,0,-2.096555509320529,-0.2968089483129804,0,0,58.64466237728729,59.96017117419106,57.037938007981516,-0.0000062816183915890915,0.00015292112888608787,0.00015920274727767696
2024-06-03T20:00:00+07:00,0.0152768,0.0153585,0.0152113,0.0152705,4.857778651943477,NaN,0,-4.168578479601593,-2.0816354961670216,0,0,58.3798554714084,59.64410803363453,57.317177200961616,-0.000009484447053883339,0.0001473471884603228,0.00015683163551420614
2024-06-03T20:30:00+07:00,0.0152698,0.0153941,0.0151425,0.0151583,4.954797934229955,NaN,0,-10.2421247903408,-5.131927472722546,0,0,53.72689315919814,58.46066505874725,57.39490763812338,-0.000019584873588237537,0.0001323505435289092,0.00015193541711714675
2024-06-03T21:00:00+07:00,0.0151582,0.0152471,0.01495,0.0149927,3.7929117531055603,NaN,0,-18.8877212903213,-10.182500856410126,0,0,47.685896073308804,56.30571126165956,57.20699351993728,-0.00003684232515037254,0.00010588251067918109,0.00014272483582955362
2024-06-03T21:30:00+07:00,0.0149926,0.015012,0.0147191,0.0148553,1.953542950399111,NaN,0,-27.870603501109276,-17.07093263375851,0,0,43.33237660127981,53.71104432958361,56.8316926846271,-0.00005579736798671809,0.000072978125846156,0.0001287754938328741
2024-06-03T22:00:00+07:00,0.0148548,0.0150378,0.0148409,0.0149602,0.11749394669850588,NaN,0,-31.292016825569174,-23.283899337568673,0,0,47.28900442890317,52.42663634944752,56.62481474129031,-0.00005923258004741981,0.000054734768773599327,0.00011396734882101914
2024-06-03T22:30:00+07:00,0.0149601,0.0151856,0.0149571,0.0151469,NaN,-1.0647498250077945,0,-28.471600397497618,-26.610363144271734,0,0,53.510547939576405,52.6434186674733,56.68097540773642,-0.00004740489542265827,0.000054711229542696305,0.00010211612496535458
2024-06-03T23:00:00+07:00,0.0151468,0.0151912,0.0149302,0.0149853,NaN,-2.3071421171563316,0,-27.763182778705787,-28.080486283517782,0,0,48.20675518639853,51.756085971258344,56.48460011534145,-0.000048750396581246784,0.0000411781292387961,0.00008992852582004289
2024-06-03T23:30:00+07:00,0.0149849,0.0150059,0.0148662,0.0149387,NaN,-3.807786090683493,0,-27.474005234854236,-28.286146375588988,0,0,46.7672339524041,50.75831556748749,56.20491041771824,-0.00005083191863372134,0.000026388627527891215,0.00007722054616161255
2024-06-04T00:00:00+07:00,0.0149386,0.0149586,0.0148051,0.0149357,NaN,-5.1165503859248425,0,-25.73007725174825,-27.33807821032266,0,0,46.670612469815055,49.940774947953,55.9032803080177,-0.00005036734113059079,0.000014261369748374067,0.00006462871087896486
2024-06-04T00:30:00+07:00,0.0149358,0.0150582,0.01491,0.0149726,NaN,-6.206241260227291,0,-23.06496702355943,-25.6443417189508,0,0,48.09118343969871,49.57085664630215,55.64922474352983,-0.000045670149527517926,0.000007541023969567448,0.000053211173497085374
2024-06-04T01:00:00+07:00,0.0149727,0.0149904,0.0149089,0.014923,NaN,-7.224569666366325,0,-23.372975000600515,-24.601744540059954,0,0,46.30564077692364,48.917813472426445,55.30076378808155,-0.00004398240836286902,-0.0000017668369565009001,0.00004221557140636812
2024-06-04T01:30:00+07:00,0.0149229,0.0149652,0.014847,0.0148736,NaN,-8.445961516314387,0,-26.186497529138475,-24.836896563808228,0,0,44.53223069530366,48.04069691700189,54.85939823524751,-0.00004415639827284165,-0.000012979926434683944,0.000031176471838157705
2024-06-04T02:00:00+07:00,0.0148736,0.0148736,0.0147312,0.0148053,NaN,-8.932405962372009,0,-30.464789360116033,-26.603258214520178,0,0,42.129840599317795,46.85852565346507,54.29885966795964,-0.00004659367679664806,-0.000027065624157652374,0.000019528052638995688
