Trade #,Type,Signal,Date/Time,Price USDT,Quantity,P&L USDT,P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
704,Exit long,SHORT,2025-05-07 20:30,"96,678.9",4.779429,792.91,0.17%,3044.5,0.66%,-34.41,-0.01%,-537930.5,0.17%
704,Entry long,LONG,2025-05-07 14:00,"96,513.0",4.779429,792.91,0.17%,3044.5,0.66%,-34.41,-0.01%,-537930.5,0.17%
705,Exit short,Close entry(s) order SHORT,2025-05-08 05:00,"97,084.9",4.779424,-1940.45,-0.42%,4590.16,0.99%,-3670.12,-0.79%,-539870.94,-0.42%
705,Entry short,SHORT,2025-05-07 20:30,"96,678.9",4.779424,-1940.45,-0.42%,4590.16,0.99%,-3670.12,-0.79%,-539870.94,-0.42%
706,Exit short,LONG,2025-05-08 23:00,"100,730.9",4.635766,-6835.9,-1.49%,706.03,0.15%,-10369.75,-2.25%,-546706.8,-1.49%
706,Entry short,SHORT,2025-05-08 21:00,"99,256.3",4.635766,-6835.9,-1.49%,706.03,0.15%,-10369.75,-2.25%,-546706.8,-1.49%
707,Exit long,SHORT,2025-05-09 11:00,"102,419.5",4.50005,7598.78,1.68%,16084.98,3.55%,-814.06,-0.18%,-539108.06,1.68%
707,Entry long,LONG,2025-05-08 23:00,"100,730.9",4.50005,7598.78,1.68%,16084.98,3.55%,-814.06,-0.18%,-539108.06,1.68%
708,Exit short,LONG,2025-05-09 13:30,"103,091.2",4.500041,-3022.68,-0.66%,332.1,0.07%,-3523.53,-0.76%,-542130.7,-0.66%
708,Entry short,SHORT,2025-05-09 11:00,"102,419.5",4.500041,-3022.68,-0.66%,332.1,0.07%,-3523.53,-0.76%,-542130.7,-0.66%
709,Exit long,Close entry(s) order LONG,2025-05-10 08:00,"102,821.0",4.4414,-1200.07,-0.26%,5692.99,1.24%,-3780.52,-0.83%,-543330.8,-0.26%
709,Entry long,LONG,2025-05-09 13:30,"103,091.2",4.4414,-1200.07,-0.26%,5692.99,1.24%,-3780.52,-0.83%,-543330.8,-0.26%
710,Exit short,Close entry(s) order SHORT,2025-05-11 06:30,"104,772.2",4.406017,-4959.41,-1.09%,3113.29,0.68%,-5963.54,-1.31%,-548290.2,-1.09%
710,Entry short,SHORT,2025-05-10 20:00,"103,646.6",4.406017,-4959.41,-1.09%,3113.29,0.68%,-5963.54,-1.31%,-548290.2,-1.09%
711,Exit short,Close entry(s) order SHORT,2025-05-13 06:00,"102,812.5",4.355714,3887.47,0.86%,13184.75,2.92%,-3985.91,-0.88%,-544402.75,0.86%
711,Entry short,SHORT,2025-05-12 19:00,"103,705.0",4.355714,3887.47,0.86%,13184.75,2.92%,-3985.91,-0.88%,-544402.75,0.86%
712,Exit short,LONG,2025-05-15 19:30,"102,477.9",4.473437,-2831.69,-0.62%,1842.61,0.40%,-3183.74,-0.70%,-547234.44,-0.62%
712,Entry short,SHORT,2025-05-15 14:30,"101,844.9",4.473437,-2831.69,-0.62%,1842.61,0.40%,-3183.74,-0.70%,-547234.44,-0.62%
713,Exit long,Close entry(s) order LONG,2025-05-16 15:30,"103,223.8",4.418169,3295.51,0.73%,8669.33,1.91%,-5333.17,-1.18%,-543938.9,0.73%
713,Entry long,LONG,2025-05-15 19:30,"102,477.9",4.418169,3295.51,0.73%,8669.33,1.91%,-5333.17,-1.18%,-543938.9,0.73%
714,Exit short,LONG,2025-05-19 05:30,"105,000.2",4.390682,-4961.03,-1.09%,203.73,0.04%,-5081.34,-1.11%,-548899.94,-1.09%
714,Entry short,SHORT,2025-05-19 03:30,"103,870.3",4.390682,-4961.03,-1.09%,203.73,0.04%,-5081.34,-1.11%,-548899.94,-1.09%
715,Exit long,Close entry(s) order LONG,2025-05-19 10:00,"104,610.4",4.296174,-1674.65,-0.37%,9082.54,2.01%,-2020.06,-0.45%,-550574.56,-0.37%
715,Entry long,LONG,2025-05-19 05:30,"105,000.2",4.296174,-1674.65,-0.37%,9082.54,2.01%,-2020.06,-0.45%,-550574.56,-0.37%
716,Exit long,SHORT,2025-05-20 11:30,"105,523.0",4.223621,-3736.21,-0.83%,1657.35,0.37%,-3917.41,-0.87%,-554310.8,-0.83%
716,Entry long,LONG,2025-05-20 09:00,"106,407.6",4.223621,-3736.21,-0.83%,1657.35,0.37%,-3917.41,-0.87%,-554310.8,-0.83%
717,Exit short,Close entry(s) order SHORT,2025-05-20 12:30,"106,293.6",4.223621,-3254.72,-0.73%,89.54,0.02%,-3582.9,-0.80%,-557565.5,-0.73%
717,Entry short,SHORT,2025-05-20 11:30,"105,523.0",4.223621,-3254.72,-0.73%,89.54,0.02%,-3582.9,-0.80%,-557565.5,-0.73%
718,Exit short,Close entry(s) order SHORT,2025-05-21 01:00,"106,153.6",4.171328,-367.49,-0.08%,8135.34,1.84%,-958.57,-0.22%,-557933,-0.08%
